ID,SERVICIO,NOMBRE DEL EVENTO,HORA DE INICIO,DURACION,CONTENT_NIBBLE_1,CONTENT_NIBBLE_2,CONTENT_CATEGORY_EPG,CONTENT_CATEGORY_MANUAL
001_VALLE_SALVAJE_154500,La 1 HD,VALLE SALVAJE,15:45:00Z,0:50:00,1,0,Fiction,Fiction
002_LA_PROMESA_163500,La 1 HD,LA PROMESA,16:35:00Z,1:00:00,1,0,Fiction,Fiction
003_MALAS_LENGUAS_173500,La 1 HD,MALAS LENGUAS,17:35:00Z,0:55:00,9,0,Education/Science,News
004_LA_REVUELTA_194500,La 1 HD,LA REVUELTA,19:45:00Z,1:15:00,9,0,Education/Science,Show
005_GRANDES_DOCUMENTALES_LOS_LEONES_MANDAN_142000,La 2 HD,GRANDES DOCUMENTALES LOS LEONES MANDAN,14:20:00Z,0:55:00,8,0,Social,Education/Science
006_LOS_CONCIERTOS_DE_RADIO_3_234500,La 2 HD,LOS CONCIERTOS DE RADIO 3,23:45:00Z,0:30:00,6,1,Music/Dance,Music/Dance
007_DOCUMENTAL_DE_LA_ESTACION_INTERNACIONAL_ESPACIAL_A_LA_LUNA_020500,La 2 HD,DOCUMENTAL DE LA ESTACION INTERNACIONAL ESPACIAL A LA LUNA,02:05:00Z,0:50:00,8,0,Social,Education/Science
008_LA_AVENTURA_DEL_SABER_075500,La 2 HD,LA AVENTURA DEL SABER,07:55:00Z,1:00:00,7,6,Arts/Culture,Education/Science
009_ESQUÍ_MONTAÑA_COPA_MUNDO_RELEVOS_VILLARS_SUR_OLLON_055500,tdp HD,ESQUÍ MONTAÑA COPA MUNDO RELEVOS VILLARS SUR OLLON,05:55:00Z,00:45:00,4,9,Sports,Sports
010_BALONCESTO_LIGA_FEM_J26_JOVENTUT_-_PERFUMERIAS_023000,tdp HD,BALONCESTO LIGA FEM J26 JOVENTUT - PERFUMERIAS,02:30:00Z,1:30:00,4,5,Sports,Sports
011_TDPEDALES_2026_081000,tdp HD,TDPEDALES 2026,08:10:00Z,1:05:00,4,6,Sports,Sports
012_TELEDIARIO_MATINAL_040000,24h HD,TELEDIARIO MATINAL,04:00:00Z,1:50:00,2,0,News,News
013_TELEDIARIO_2_185800,24h HD,TELEDIARIO 2,18:58:00Z,00:39:00,2,0,News,News
014_AQUI_LA_TIERRA_183000,La 1 HD,AQUI LA TIERRA,18:30:00Z,00:25:00,2,1,News,News
015_COCINA_ABIERTA_DE_KARLOS_ARGUIÑANO_112000,Antena 3,COCINA ABIERTA DE KARLOS ARGUIÑANO,11:20:00Z,0:25:00,10,5,Leisure hobbies,Leisure hobbies
016_SUEÑOS_DE_LIBERTAD_134500,Antena 3,SUEÑOS DE LIBERTAD,13:45:00Z,1:15:00,1,5,Fiction,Fiction
017_PASAPALABRA_180000,Antena 3,PASAPALABRA,18:00:00Z,1:00:00,3,1,Show,Show
018_EL_HORMIGUERO_194500,Antena 3,EL HORMIGUERO,19:45:00Z,1:15:00,3,3,Show,Show
019_EL_INTERMEDIO_193000,laSexta,EL INTERMEDIO,19:30:00Z,01:30:00,3,0,Show,Show
020_LA_SEXTA_NOTICIAS_2ª_EDICIÓN_180000,laSexta,LA SEXTA NOTICIAS 2ª EDICIÓN,18:00:00Z,01:00:00,2,0,News,News
021_ALLÁ_TÚ_180000,Telecinco HD,¡ALLÁ TÚ!,18:00:00Z,1:00:00,3,0,Show,Show
022_INFORMATIVOS_TELECINCO_190000,Telecinco HD,INFORMATIVOS TELECINCO,19:00:00Z,0:30:00,2,0,News,News
023_EL_DIARIO_DE_JORGE_163000,Telecinco HD,EL DIARIO DE JORGE,16:30:00Z,1:30:00,3,0,Show,Show
024_QUIEN_DA_MÁS_130548,MEGA,QUIEN DA MÁS,13:05:48Z,00:25:04,3,3,Show,Leisure hobbies
025_PESADILLA_EN_LA_COCINA_151400,MEGA,PESADILLA EN LA COCINA,15:14:00Z,01:19:00,3,2,Show,Leisure hobbies
026_LA_PATRULLA_CANINA_130400,Clan HD,LA PATRULLA CANINA,13:04:00Z,0:22:00,5,0,Cartoons,Cartoons
027_VERA_Y_EL_REINO_DEL_ARCOIRIS_132600,Clan HD,VERA Y EL REINO DEL ARCOIRIS,13:26:00Z,0:22:00,5,0,Cartoons,Cartoons
028_SUPERKITTIES_144600,Clan HD,SUPERKITTIES,14:46:00Z,0:25:00,5,0,Cartoons,Cartoons
029_SPIDEY_Y_SU_SUPEREQUIPO_151100,Clan HD,SPIDEY Y SU SUPEREQUIPO,15:11:00Z,0:25:00,5,0,Cartoons,Cartoons
030_POKEMON_SERIE_XYZ_161200,Clan HD,POKEMON SERIE XYZ,16:12:00Z,0:22:00,5,0,Cartoons,Cartoons
